Nama Pengguna,Skor (Bintang),Ulasan Teks,Tanggal Ulasan,Balasan Pengembang,Jumlah Like,ID Ulasan,Case Folding,Tokens,Stemmed,Filtered,Filtered_Text,Bigrams,Trigrams
Rizkijohanes Pribadi,2,sy sudah bayar netflix & saldo sy sudah kepotong tp kenapa sy gak bs nonton,2025-08-20 01:30:45,,0,abc261ec-4550-429a-9052-fca5743032da,sy sudah bayar netflix & saldo sy sudah kepotong tp kenapa sy gak bs nonton,"['sy', 'sudah', 'bayar', 'netflix', '&', 'saldo', 'sy', 'sudah', 'kepotong', 'tp', 'kenapa', 'sy', 'gak', 'bs', 'nonton']","['sy', 'sudah', 'bayar', 'netflix', '&', 'saldo', 'sy', 'sudah', 'kepotong', 'tp', 'kenapa', 'sy', 'gak', 'bs', 'nonton']","['sy', 'sudah', 'bayar', 'netflix', 'saldo', 'sy', 'sudah', 'kepotong', 'tp', 'kenapa', 'sy', 'gak', 'bs', 'nonton']",sudah bayar netflix saldo sudah kepotong kenapa gak nonton,"[('sy', 'sudah'), ('sudah', 'bayar'), ('bayar', 'netflix'), ('netflix', 'saldo'), ('saldo', 'sy'), ('sy', 'sudah'), ('sudah', 'kepotong'), ('kepotong', 'tp'), ('tp', 'kenapa'), ('kenapa', 'sy'), ('sy', 'gak'), ('gak', 'bs'), ('bs', 'nonton')]","[('sy', 'sudah', 'bayar'), ('sudah', 'bayar', 'netflix'), ('bayar', 'netflix', 'saldo'), ('netflix', 'saldo', 'sy'), ('saldo', 'sy', 'sudah'), ('sy', 'sudah', 'kepotong'), ('sudah', 'kepotong', 'tp'), ('kepotong', 'tp', 'kenapa'), ('tp', 'kenapa', 'sy'), ('kenapa', 'sy', 'gak'), ('sy', 'gak', 'bs'), ('gak', 'bs', 'nonton')]"
Muhammad Dafa,1,setiap mau nonton episode keluar terus berasa nonton di aplikasi bajakan padahal kan bayar,2025-08-20 01:11:08,,0,1236ceaa-6a87-4c99-87bb-6d0a43afde09,setiap mau nonton episode keluar terus berasa nonton di aplikasi bajakan padahal kan bayar,"['setiap', 'mau', 'nonton', 'episode', 'keluar', 'terus', 'berasa', 'nonton', 'di', 'aplikasi', 'bajakan', 'padahal', 'kan', 'bayar']","['setiap', 'mau', 'nonton', 'episod', 'keluar', 'teru', 'berasa', 'nonton', 'di', 'aplikasi', 'bajakan', 'padah', 'kan', 'bayar']","['setiap', 'mau', 'nonton', 'episod', 'keluar', 'teru', 'berasa', 'nonton', 'di', 'aplikasi', 'bajakan', 'padah', 'kan', 'bayar']",setiap mau nonton episod keluar teru berasa nonton aplikasi bajakan padah kan bayar,"[('setiap', 'mau'), ('mau', 'nonton'), ('nonton', 'episod'), ('episod', 'keluar'), ('keluar', 'teru'), ('teru', 'berasa'), ('berasa', 'nonton'), ('nonton', 'di'), ('di', 'aplikasi'), ('aplikasi', 'bajakan'), ('bajakan', 'padah'), ('padah', 'kan'), ('kan', 'bayar')]","[('setiap', 'mau', 'nonton'), ('mau', 'nonton', 'episod'), ('nonton', 'episod', 'keluar'), ('episod', 'keluar', 'teru'), ('keluar', 'teru', 'berasa'), ('teru', 'berasa', 'nonton'), ('berasa', 'nonton', 'di'), ('nonton', 'di', 'aplikasi'), ('di', 'aplikasi', 'bajakan'), ('aplikasi', 'bajakan', 'padah'), ('bajakan', 'padah', 'kan'), ('padah', 'kan', 'bayar')]"
Silver Surfer,3,"sepertinya anda terhubung menggunakan vpn bla bla bla lah, padahal ngga anjir. yg lagi di tonton langsung ilang 😵‍💫",2025-08-19 14:36:32,,0,5c562347-695d-446f-a1f5-b38d65236e8c,"sepertinya anda terhubung menggunakan vpn bla bla bla lah, padahal ngga anjir. yg lagi di tonton langsung ilang 😵‍💫","['sepertinya', 'anda', 'terhubung', 'menggunakan', 'vpn', 'bla', 'bla', 'bla', 'lah', ',', 'padahal', 'ngga', 'anjir', '.', 'yg', 'lagi', 'di', 'tonton', 'langsung', 'ilang', '😵\u200d💫']","['sepertinya', 'anda', 'terhubung', 'menggunakan', 'vpn', 'bla', 'bla', 'bla', 'lah', ',', 'padah', 'ngga', 'anjir', '.', 'yg', 'lagi', 'di', 'tonton', 'langsung', 'ilang', '😵\u200d💫']","['sepertinya', 'anda', 'terhubung', 'menggunakan', 'vpn', 'bla', 'bla', 'bla', 'lah', 'padah', 'ngga', 'anjir', 'yg', 'lagi', 'di', 'tonton', 'langsung', 'ilang']",sepertinya anda terhubung menggunakan vpn bla bla bla lah padah ngga anjir lagi tonton langsung ilang,"[('sepertinya', 'anda'), ('anda', 'terhubung'), ('terhubung', 'menggunakan'), ('menggunakan', 'vpn'), ('vpn', 'bla'), ('bla', 'bla'), ('bla', 'bla'), ('bla', 'lah'), ('lah', 'padah'), ('padah', 'ngga'), ('ngga', 'anjir'), ('anjir', 'yg'), ('yg', 'lagi'), ('lagi', 'di'), ('di', 'tonton'), ('tonton', 'langsung'), ('langsung', 'ilang')]","[('sepertinya', 'anda', 'terhubung'), ('anda', 'terhubung', 'menggunakan'), ('terhubung', 'menggunakan', 'vpn'), ('menggunakan', 'vpn', 'bla'), ('vpn', 'bla', 'bla'), ('bla', 'bla', 'bla'), ('bla', 'bla', 'lah'), ('bla', 'lah', 'padah'), ('lah', 'padah', 'ngga'), ('padah', 'ngga', 'anjir'), ('ngga', 'anjir', 'yg'), ('anjir', 'yg', 'lagi'), ('yg', 'lagi', 'di'), ('lagi', 'di', 'tonton'), ('di', 'tonton', 'langsung'), ('tonton', 'langsung', 'ilang')]"
Wnzzz!!! Wnzzz!!!,5,"sangat bagus. kita bisa menonton drama drama yang kita suka, semuanya ada disini, apalgi drama Korea, sangat lengkap di sini, kualitas juga baguuss. the best pokoknya",2025-08-19 13:16:10,,1,1879dd38-4095-45fd-bf38-11c9eaa1d769,"sangat bagus. kita bisa menonton drama drama yang kita suka, semuanya ada disini, apalgi drama korea, sangat lengkap di sini, kualitas juga baguuss. the best pokoknya","['sangat', 'bagus', '.', 'kita', 'bisa', 'menonton', 'drama', 'drama', 'yang', 'kita', 'suka', ',', 'semuanya', 'ada', 'disini', ',', 'apalgi', 'drama', 'Korea', ',', 'sangat', 'lengkap', 'di', 'sini', ',', 'kualitas', 'juga', 'baguuss', '.', 'the', 'best', 'pokoknya']","['sangat', 'bagu', '.', 'kita', 'bisa', 'menonton', 'drama', 'drama', 'yang', 'kita', 'suka', ',', 'semuanya', 'ada', 'disini', ',', 'apalgi', 'drama', 'korea', ',', 'sangat', 'lengkap', 'di', 'sini', ',', 'kualita', 'juga', 'baguuss', '.', 'the', 'best', 'pokoknya']","['sangat', 'bagu', 'kita', 'bisa', 'menonton', 'drama', 'drama', 'yang', 'kita', 'suka', 'semuanya', 'ada', 'disini', 'apalgi', 'drama', 'korea', 'sangat', 'lengkap', 'di', 'sini', 'kualita', 'juga', 'baguuss', 'best', 'pokoknya']",sangat bagu kita bisa menonton drama drama yang kita suka semuanya ada disini apalgi drama korea sangat lengkap sini kualita juga baguuss best pokoknya,"[('sangat', 'bagu'), ('bagu', 'kita'), ('kita', 'bisa'), ('bisa', 'menonton'), ('menonton', 'drama'), ('drama', 'drama'), ('drama', 'yang'), ('yang', 'kita'), ('kita', 'suka'), ('suka', 'semuanya'), ('semuanya', 'ada'), ('ada', 'disini'), ('disini', 'apalgi'), ('apalgi', 'drama'), ('drama', 'korea'), ('korea', 'sangat'), ('sangat', 'lengkap'), ('lengkap', 'di'), ('di', 'sini'), ('sini', 'kualita'), ('kualita', 'juga'), ('juga', 'baguuss'), ('baguuss', 'best'), ('best', 'pokoknya')]","[('sangat', 'bagu', 'kita'), ('bagu', 'kita', 'bisa'), ('kita', 'bisa', 'menonton'), ('bisa', 'menonton', 'drama'), ('menonton', 'drama', 'drama'), ('drama', 'drama', 'yang'), ('drama', 'yang', 'kita'), ('yang', 'kita', 'suka'), ('kita', 'suka', 'semuanya'), ('suka', 'semuanya', 'ada'), ('semuanya', 'ada', 'disini'), ('ada', 'disini', 'apalgi'), ('disini', 'apalgi', 'drama'), ('apalgi', 'drama', 'korea'), ('drama', 'korea', 'sangat'), ('korea', 'sangat', 'lengkap'), ('sangat', 'lengkap', 'di'), ('lengkap', 'di', 'sini'), ('di', 'sini', 'kualita'), ('sini', 'kualita', 'juga'), ('kualita', 'juga', 'baguuss'), ('juga', 'baguuss', 'best'), ('baguuss', 'best', 'pokoknya')]"
Ridwan Shidiq,1,kurang kumaha jaringan alus tapi Lemott,2025-08-19 12:22:01,,0,d48c100d-19cc-4ae6-9757-d673268487eb,kurang kumaha jaringan alus tapi lemott,"['kurang', 'kumaha', 'jaringan', 'alus', 'tapi', 'Lemott']","['kurang', 'kumaha', 'jaringan', 'alu', 'tapi', 'lemott']","['kurang', 'kumaha', 'jaringan', 'alu', 'tapi', 'lemott']",kurang kumaha jaringan alu tapi lemott,"[('kurang', 'kumaha'), ('kumaha', 'jaringan'), ('jaringan', 'alu'), ('alu', 'tapi'), ('tapi', 'lemott')]","[('kurang', 'kumaha', 'jaringan'), ('kumaha', 'jaringan', 'alu'), ('jaringan', 'alu', 'tapi'), ('alu', 'tapi', 'lemott')]"
Aliip Aljidan,1,apk jore patut,2025-08-19 12:06:08,,0,c58afe10-787c-4d17-b10a-32c712110f26,apk jore patut,"['apk', 'jore', 'patut']","['apk', 'jore', 'patut']","['apk', 'jore', 'patut']",apk jore patut,"[('apk', 'jore'), ('jore', 'patut')]","[('apk', 'jore', 'patut')]"
Rehan pebrian cahyani,1,tolong kasih fitur mengganti kualitas secara manual 🙏🏻🙏🏻 please provide a feature to change the quality manually 🙏🏻🙏🏻,2025-08-19 11:43:25,,0,e36bf31f-fefa-4403-914b-0de782a93d8a,tolong kasih fitur mengganti kualitas secara manual 🙏🏻🙏🏻 please provide a feature to change the quality manually 🙏🏻🙏🏻,"['tolong', 'kasih', 'fitur', 'mengganti', 'kualitas', 'secara', 'manual', '🙏🏻🙏🏻', 'please', 'provide', 'a', 'feature', 'to', 'change', 'the', 'quality', 'manually', '🙏🏻🙏🏻']","['tolong', 'kasih', 'fitur', 'mengganti', 'kualita', 'secara', 'manual', '🙏🏻🙏🏻', 'pleas', 'provid', 'a', 'featur', 'to', 'chang', 'the', 'qualiti', 'manual', '🙏🏻🙏🏻']","['tolong', 'kasih', 'fitur', 'mengganti', 'kualita', 'secara', 'manual', 'pleas', 'provid', 'featur', 'chang', 'qualiti', 'manual']",tolong kasih fitur mengganti kualita secara manual pleas provid featur chang qualiti manual,"[('tolong', 'kasih'), ('kasih', 'fitur'), ('fitur', 'mengganti'), ('mengganti', 'kualita'), ('kualita', 'secara'), ('secara', 'manual'), ('manual', 'pleas'), ('pleas', 'provid'), ('provid', 'featur'), ('featur', 'chang'), ('chang', 'qualiti'), ('qualiti', 'manual')]","[('tolong', 'kasih', 'fitur'), ('kasih', 'fitur', 'mengganti'), ('fitur', 'mengganti', 'kualita'), ('mengganti', 'kualita', 'secara'), ('kualita', 'secara', 'manual'), ('secara', 'manual', 'pleas'), ('manual', 'pleas', 'provid'), ('pleas', 'provid', 'featur'), ('provid', 'featur', 'chang'), ('featur', 'chang', 'qualiti'), ('chang', 'qualiti', 'manual')]"
ivan lim,1,memuat 2 hari 😂😂 bayar tapi gak fungsi,2025-08-19 09:19:02,,0,d772d530-c344-4433-a1a9-21e509b9ff72,memuat 2 hari 😂😂 bayar tapi gak fungsi,"['memuat', '2', 'hari', '😂😂', 'bayar', 'tapi', 'gak', 'fungsi']","['memuat', '2', 'hari', '😂😂', 'bayar', 'tapi', 'gak', 'fungsi']","['memuat', '2', 'hari', 'bayar', 'tapi', 'gak', 'fungsi']",memuat hari bayar tapi gak fungsi,"[('memuat', '2'), ('2', 'hari'), ('hari', 'bayar'), ('bayar', 'tapi'), ('tapi', 'gak'), ('gak', 'fungsi')]","[('memuat', '2', 'hari'), ('2', 'hari', 'bayar'), ('hari', 'bayar', 'tapi'), ('bayar', 'tapi', 'gak'), ('tapi', 'gak', 'fungsi')]"
Budi Classic,5,good luck Netflix,2025-08-19 07:35:01,,0,5f9adcc9-d726-4b25-b9eb-07d7d451548e,good luck netflix,"['good', 'luck', 'Netflix']","['good', 'luck', 'netflix']","['good', 'luck', 'netflix']",good luck netflix,"[('good', 'luck'), ('luck', 'netflix')]","[('good', 'luck', 'netflix')]"
lynxx,1,"stupid, sering ke logout sendiri padahal sandi dan email sudah benar",2025-08-19 07:24:39,,0,d683361a-841e-4c22-92cd-d7e53741932d,"stupid, sering ke logout sendiri padahal sandi dan email sudah benar","['stupid', ',', 'sering', 'ke', 'logout', 'sendiri', 'padahal', 'sandi', 'dan', 'email', 'sudah', 'benar']","['stupid', ',', 'sere', 'ke', 'logout', 'sendiri', 'padah', 'sandi', 'dan', 'email', 'sudah', 'benar']","['stupid', 'sere', 'ke', 'logout', 'sendiri', 'padah', 'sandi', 'dan', 'email', 'sudah', 'benar']",stupid sere logout sendiri padah sandi dan email sudah benar,"[('stupid', 'sere'), ('sere', 'ke'), ('ke', 'logout'), ('logout', 'sendiri'), ('sendiri', 'padah'), ('padah', 'sandi'), ('sandi', 'dan'), ('dan', 'email'), ('email', 'sudah'), ('sudah', 'benar')]","[('stupid', 'sere', 'ke'), ('sere', 'ke', 'logout'), ('ke', 'logout', 'sendiri'), ('logout', 'sendiri', 'padah'), ('sendiri', 'padah', 'sandi'), ('padah', 'sandi', 'dan'), ('sandi', 'dan', 'email'), ('dan', 'email', 'sudah'), ('email', 'sudah', 'benar')]"
Aqmal Sifai,1,sangat jelek,2025-08-19 06:46:07,,0,4b30ba67-cb8f-4a91-8e43-d51e8afbfc24,sangat jelek,"['sangat', 'jelek']","['sangat', 'jelek']","['sangat', 'jelek']",sangat jelek,"[('sangat', 'jelek')]",[]
Natt Rb,2,daftarnya susah anzing,2025-08-19 06:36:50,,0,d4b6736e-41fa-41e2-b4c9-45f2fa5eadd8,daftarnya susah anzing,"['daftarnya', 'susah', 'anzing']","['daftarnya', 'susah', 'anz']","['daftarnya', 'susah', 'anz']",daftarnya susah anz,"[('daftarnya', 'susah'), ('susah', 'anz')]","[('daftarnya', 'susah', 'anz')]"
Muh Ramadhan,1,aplikasi gak bisa terbuka,2025-08-19 06:16:28,,0,65160eff-52c6-47a7-97da-a8c2fed1a153,aplikasi gak bisa terbuka,"['aplikasi', 'gak', 'bisa', 'terbuka']","['aplikasi', 'gak', 'bisa', 'terbuka']","['aplikasi', 'gak', 'bisa', 'terbuka']",aplikasi gak bisa terbuka,"[('aplikasi', 'gak'), ('gak', 'bisa'), ('bisa', 'terbuka')]","[('aplikasi', 'gak', 'bisa'), ('gak', 'bisa', 'terbuka')]"
J Lee93,1,"Eror ! ngk jelas tiba² ngk bisa di buka padahal sudah langganan, please di perbaiki !!!",2025-08-19 00:01:30,,0,46787a71-b21e-4829-bf70-e140b88691e9,"eror ! ngk jelas tiba² ngk bisa di buka padahal sudah langganan, please di perbaiki !!!","['Eror', '!', 'ngk', 'jelas', 'tiba²', 'ngk', 'bisa', 'di', 'buka', 'padahal', 'sudah', 'langganan', ',', 'please', 'di', 'perbaiki', '!', '!', '!']","['eror', '!', 'ngk', 'jela', 'tiba²', 'ngk', 'bisa', 'di', 'buka', 'padah', 'sudah', 'langganan', ',', 'pleas', 'di', 'perbaiki', '!', '!', '!']","['eror', 'ngk', 'jela', 'tiba²', 'ngk', 'bisa', 'di', 'buka', 'padah', 'sudah', 'langganan', 'pleas', 'di', 'perbaiki']",eror ngk jela tiba² ngk bisa buka padah sudah langganan pleas perbaiki,"[('eror', 'ngk'), ('ngk', 'jela'), ('jela', 'tiba²'), ('tiba²', 'ngk'), ('ngk', 'bisa'), ('bisa', 'di'), ('di', 'buka'), ('buka', 'padah'), ('padah', 'sudah'), ('sudah', 'langganan'), ('langganan', 'pleas'), ('pleas', 'di'), ('di', 'perbaiki')]","[('eror', 'ngk', 'jela'), ('ngk', 'jela', 'tiba²'), ('jela', 'tiba²', 'ngk'), ('tiba²', 'ngk', 'bisa'), ('ngk', 'bisa', 'di'), ('bisa', 'di', 'buka'), ('di', 'buka', 'padah'), ('buka', 'padah', 'sudah'), ('padah', 'sudah', 'langganan'), ('sudah', 'langganan', 'pleas'), ('langganan', 'pleas', 'di'), ('pleas', 'di', 'perbaiki')]"
Erick Troyudan,1,Aplikasi tdk bs di uninstall...bgmna gooplaystore.BERESSSIIINN.PAYYAAHH.,2025-08-18 18:11:47,,0,8f372af4-e159-4b70-8a44-7cfb756f6b48,aplikasi tdk bs di uninstall...bgmna gooplaystore.beresssiiinn.payyaahh.,"['Aplikasi', 'tdk', 'bs', 'di', 'uninstall', '...', 'bgmna', 'gooplaystore.BERESSSIIINN.PAYYAAHH', '.']","['aplikasi', 'tdk', 'bs', 'di', 'uninstal', '...', 'bgmna', 'gooplaystore.beresssiiinn.payyaahh', '.']","['aplikasi', 'tdk', 'bs', 'di', 'uninstal', 'bgmna']",aplikasi tdk uninstal bgmna,"[('aplikasi', 'tdk'), ('tdk', 'bs'), ('bs', 'di'), ('di', 'uninstal'), ('uninstal', 'bgmna')]","[('aplikasi', 'tdk', 'bs'), ('tdk', 'bs', 'di'), ('bs', 'di', 'uninstal'), ('di', 'uninstal', 'bgmna')]"
Ahmad Tiar,1,kok saya tidak dapat menonton beberapa film aneh sekali.,2025-08-18 18:10:38,,0,dd898380-549d-4b35-901a-443d681477b7,kok saya tidak dapat menonton beberapa film aneh sekali.,"['kok', 'saya', 'tidak', 'dapat', 'menonton', 'beberapa', 'film', 'aneh', 'sekali', '.']","['kok', 'saya', 'tidak', 'dapat', 'menonton', 'beberapa', 'film', 'aneh', 'sekali', '.']","['kok', 'saya', 'tidak', 'dapat', 'menonton', 'beberapa', 'film', 'aneh', 'sekali']",kok saya tidak dapat menonton beberapa film aneh sekali,"[('kok', 'saya'), ('saya', 'tidak'), ('tidak', 'dapat'), ('dapat', 'menonton'), ('menonton', 'beberapa'), ('beberapa', 'film'), ('film', 'aneh'), ('aneh', 'sekali')]","[('kok', 'saya', 'tidak'), ('saya', 'tidak', 'dapat'), ('tidak', 'dapat', 'menonton'), ('dapat', 'menonton', 'beberapa'), ('menonton', 'beberapa', 'film'), ('beberapa', 'film', 'aneh'), ('film', 'aneh', 'sekali')]"
Fifi Mustaghfiroh,3,"Makin kesini makin gak bagus aplikasi nya tiba"" suka keluar sendiri di tengah"" lagi nnton pas udah coba masuk lagi riwayat yg kita tonton udah gak ada pasien kita search di pencarian juga gak ada jadi kesel",2025-08-18 16:40:31,,0,2dfa3eb1-1334-42cf-bf00-c9b7df45f2a0,"makin kesini makin gak bagus aplikasi nya tiba"" suka keluar sendiri di tengah"" lagi nnton pas udah coba masuk lagi riwayat yg kita tonton udah gak ada pasien kita search di pencarian juga gak ada jadi kesel","['Makin', 'kesini', 'makin', 'gak', 'bagus', 'aplikasi', 'nya', 'tiba', ""''"", 'suka', 'keluar', 'sendiri', 'di', 'tengah', ""''"", 'lagi', 'nnton', 'pas', 'udah', 'coba', 'masuk', 'lagi', 'riwayat', 'yg', 'kita', 'tonton', 'udah', 'gak', 'ada', 'pasien', 'kita', 'search', 'di', 'pencarian', 'juga', 'gak', 'ada', 'jadi', 'kesel']","['makin', 'kesini', 'makin', 'gak', 'bagu', 'aplikasi', 'nya', 'tiba', ""''"", 'suka', 'keluar', 'sendiri', 'di', 'tengah', ""''"", 'lagi', 'nnton', 'pa', 'udah', 'coba', 'masuk', 'lagi', 'riwayat', 'yg', 'kita', 'tonton', 'udah', 'gak', 'ada', 'pasien', 'kita', 'search', 'di', 'pencarian', 'juga', 'gak', 'ada', 'jadi', 'kesel']","['makin', 'kesini', 'makin', 'gak', 'bagu', 'aplikasi', 'nya', 'tiba', 'suka', 'keluar', 'sendiri', 'di', 'tengah', 'lagi', 'nnton', 'pa', 'udah', 'coba', 'masuk', 'lagi', 'riwayat', 'yg', 'kita', 'tonton', 'udah', 'gak', 'ada', 'pasien', 'kita', 'search', 'di', 'pencarian', 'juga', 'gak', 'ada', 'jadi', 'kesel']",makin kesini makin gak bagu aplikasi nya tiba suka keluar sendiri tengah lagi nnton udah coba masuk lagi riwayat kita tonton udah gak ada pasien kita search pencarian juga gak ada jadi kesel,"[('makin', 'kesini'), ('kesini', 'makin'), ('makin', 'gak'), ('gak', 'bagu'), ('bagu', 'aplikasi'), ('aplikasi', 'nya'), ('nya', 'tiba'), ('tiba', 'suka'), ('suka', 'keluar'), ('keluar', 'sendiri'), ('sendiri', 'di'), ('di', 'tengah'), ('tengah', 'lagi'), ('lagi', 'nnton'), ('nnton', 'pa'), ('pa', 'udah'), ('udah', 'coba'), ('coba', 'masuk'), ('masuk', 'lagi'), ('lagi', 'riwayat'), ('riwayat', 'yg'), ('yg', 'kita'), ('kita', 'tonton'), ('tonton', 'udah'), ('udah', 'gak'), ('gak', 'ada'), ('ada', 'pasien'), ('pasien', 'kita'), ('kita', 'search'), ('search', 'di'), ('di', 'pencarian'), ('pencarian', 'juga'), ('juga', 'gak'), ('gak', 'ada'), ('ada', 'jadi'), ('jadi', 'kesel')]","[('makin', 'kesini', 'makin'), ('kesini', 'makin', 'gak'), ('makin', 'gak', 'bagu'), ('gak', 'bagu', 'aplikasi'), ('bagu', 'aplikasi', 'nya'), ('aplikasi', 'nya', 'tiba'), ('nya', 'tiba', 'suka'), ('tiba', 'suka', 'keluar'), ('suka', 'keluar', 'sendiri'), ('keluar', 'sendiri', 'di'), ('sendiri', 'di', 'tengah'), ('di', 'tengah', 'lagi'), ('tengah', 'lagi', 'nnton'), ('lagi', 'nnton', 'pa'), ('nnton', 'pa', 'udah'), ('pa', 'udah', 'coba'), ('udah', 'coba', 'masuk'), ('coba', 'masuk', 'lagi'), ('masuk', 'lagi', 'riwayat'), ('lagi', 'riwayat', 'yg'), ('riwayat', 'yg', 'kita'), ('yg', 'kita', 'tonton'), ('kita', 'tonton', 'udah'), ('tonton', 'udah', 'gak'), ('udah', 'gak', 'ada'), ('gak', 'ada', 'pasien'), ('ada', 'pasien', 'kita'), ('pasien', 'kita', 'search'), ('kita', 'search', 'di'), ('search', 'di', 'pencarian'), ('di', 'pencarian', 'juga'), ('pencarian', 'juga', 'gak'), ('juga', 'gak', 'ada'), ('gak', 'ada', 'jadi'), ('ada', 'jadi', 'kesel')]"
Erick Vastia Fernandes,1,Mau login aja ribet....,2025-08-18 16:11:52,,0,68f26989-5971-4938-b317-1ac7c88a2c4e,mau login aja ribet....,"['Mau', 'login', 'aja', 'ribet', '....']","['mau', 'login', 'aja', 'ribet', '....']","['mau', 'login', 'aja', 'ribet']",mau login aja ribet,"[('mau', 'login'), ('login', 'aja'), ('aja', 'ribet')]","[('mau', 'login', 'aja'), ('login', 'aja', 'ribet')]"
Lupiaa Saja,1,kalau g niat bikin aplikasi jngn buat aplikasi,2025-08-18 15:06:15,,0,cf91a0e4-28b4-479f-80f9-6cc17c9b8a7f,kalau g niat bikin aplikasi jngn buat aplikasi,"['kalau', 'g', 'niat', 'bikin', 'aplikasi', 'jngn', 'buat', 'aplikasi']","['kalau', 'g', 'niat', 'bikin', 'aplikasi', 'jngn', 'buat', 'aplikasi']","['kalau', 'g', 'niat', 'bikin', 'aplikasi', 'jngn', 'buat', 'aplikasi']",kalau niat bikin aplikasi jngn buat aplikasi,"[('kalau', 'g'), ('g', 'niat'), ('niat', 'bikin'), ('bikin', 'aplikasi'), ('aplikasi', 'jngn'), ('jngn', 'buat'), ('buat', 'aplikasi')]","[('kalau', 'g', 'niat'), ('g', 'niat', 'bikin'), ('niat', 'bikin', 'aplikasi'), ('bikin', 'aplikasi', 'jngn'), ('aplikasi', 'jngn', 'buat'), ('jngn', 'buat', 'aplikasi')]"
Nursigit Dwi Setyo,1,Aplikasi BUTUT MAU NYA UNTUNG DOANG,2025-08-18 14:26:08,,0,33a4b6ab-d257-4d44-9c85-6f20b01c1662,aplikasi butut mau nya untung doang,"['Aplikasi', 'BUTUT', 'MAU', 'NYA', 'UNTUNG', 'DOANG']","['aplikasi', 'butut', 'mau', 'nya', 'untung', 'doang']","['aplikasi', 'butut', 'mau', 'nya', 'untung', 'doang']",aplikasi butut mau nya untung doang,"[('aplikasi', 'butut'), ('butut', 'mau'), ('mau', 'nya'), ('nya', 'untung'), ('untung', 'doang')]","[('aplikasi', 'butut', 'mau'), ('butut', 'mau', 'nya'), ('mau', 'nya', 'untung'), ('nya', 'untung', 'doang')]"
Predi Darmanto,5,aplikasinya bagus banget,2025-08-18 13:38:45,,0,aa984b5b-e19e-4663-9ad8-c26014a68894,aplikasinya bagus banget,"['aplikasinya', 'bagus', 'banget']","['aplikasinya', 'bagu', 'banget']","['aplikasinya', 'bagu', 'banget']",aplikasinya bagu banget,"[('aplikasinya', 'bagu'), ('bagu', 'banget')]","[('aplikasinya', 'bagu', 'banget')]"
